Name,Chairman,Latitude,Longitude
New York,John C. Williams,40.70829,-74.00883
St. Louis,James Bullard,38.62848,-90.18876
Dallas,Robert  S. Kaplan,32.79217,-96.80072
Boston,Eric S. Rosengren,42.35269,-71.05356
Philadelphia,Patrick T. Harker,39.95337,-75.1483
Cleveland,Loretta J. Mester,41.50205,-81.69027
Richmond,Thomas I. Barkin,37.53582,-77.44045
Atlanta,Raphael W. Bostic,33.78223,-84.38508
Minneapolis,Neel Kashkari,44.98568,-93.26727
Chicago,Charles L. Evans,41.87844,-87.63234
San Francisco,Mary C. Daly,37.7929,-122.39585
D.C.,Jerome H. Powell,38.89211,-77.04376
Kansas City,Gregory Hohl,39.103429,-94.580929
